,fixed_libor_discounting_with_smoothing_model_new-20171006192528582000,trade,fixed_libor_discounting_no_smoothing_model_new-20171006192532191000,ois_discounting_with_smoothing_model_new-2017100619253621000,ois_discounting_no_smoothing_model_new-20171006192539832000,risk_model_with_smoothing_recipe_new-20171016154402657000,risk_model_no_smoothing_recipe_new-20171016155828129000
0,-821308.336409519,03030_swap,-806841.895144321,-827018.138314158,-822513.017327444,-821267.264098805,-822112.381976484
1,-3569363.93779088,04523_swap,-3573969.70240153,-3632331.33208448,-3590961.13019365,-3572474.13095162,-3561827.07706859
2,-25.279507752674,04525_swap,-25.2837263006903,-25.2805129969118,-25.2770907257475,-25.279790421721,-25.279507752674
3,-348164.729341053,02926_swap,-348725.785668637,-350517.611780141,-348695.741108615,-348146.441816004,-348535.23855582
4,-1094929.52817491,02985_swap,-1098241.13764181,-1099038.39800207,-1097872.29398041,-1094848.92606587,-1097969.6515163
5,-65.1154405472466,04527_swap,-65.3748968437223,-63.5854285138808,-62.384303826554,-64.5997791696343,-64.8902452225142
6,-570358.152661657,02918_swap,-570517.518015663,-572127.731951941,-570821.820473163,-570318.691191522,-570298.830855782
7,-11763331.7156983,03058_swap,-11765182.499034,-12008386.0148502,-11772058.1799296,-11750519.5954822,-11786154.2124222
8,0,04531_swaption,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!
9,0,04481_swaption,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!,#Error: Product not handled by supplied valuation specification - BinaryChoice product cannot be priced with an engine source of type NoConvexityClosedForm-CollateralizedEngineSource!
